Full_Name,First_Name,Last_Name,DOB,Mobile_Number_1,Mobile_Number_2,Email_Id_1,Email_Id_2
"Vishwabharati Academy's College of Engineering, Ahmednagar",,,,,,,
"Amrutvahini Institute of Management & Business Administration, Sangamner.",,,,,,,
"Abhinav Education Society's Institute of Management & Business Administration, Akole",,,,,,,
"Shri Dattakrupa Shaikshnik & Krushi Gram Vikas Pratisthan's Sai Krupa Institute of Management Science (M.B.A.), Ghargaon",,,,,,,
"B. P. Hivale Education Society's Institute of Management Studies Career Development Research, Ahmednagar",,,,,,,
"SGR Education Foundation's Institute of Management and Research, Ahmednagar",,,,,,,
"PIRENS Institute of Business Management and Administration (IBMA), Loni, Ahmednagar",,,,,,,
"Padmashree Dr. Vithalrao Vikhe Patil Foundation's Institute of Business Management & Rural Devp., Ahmednagar",,,,,,,
"Shri Chhatrapati Shivaji College of Engineering, (Rahuri Factory), Tal.Rahuri, Dist.Ahmednagar-413706",,,,,,,
"Government Polytechnic, Ahmednagar",,,,,,,
"SRES's Sanjivani Institute of Pharmacy And Research, Kopargaon",,,,,,,
"Sanjivani Rural Education Society's K.B.P. Polytechnic, Kopargaon Dist Ahmednagar",,,,,,,
"Shri Chhatrapati Shivaji Shikshan Sanstha's Indira Gandhi Poly. Belwandi (su) ,Tal-Shrigonda  Dist- Ahmednagar",,,,,,,
"Pravara  Rural Education Society's Padmashri Dr. Vittalrao Vikhe Patil Polytechnic, Ahmednagar",,,,,,,
"Amrutvahini Sheti & Shikshan Sanstha's Amrutvahini Polytechnic, Amrutnagar",,,,,,,
"Yashwantrao Chavan College of Pharmacy, Ahmednagar.",,,,,,,
"Shri.Tilok Jain Dnyan Prasarak Mandal's Anand Colleges of Pharmacy, Pathardi, Ahmednagar",,,,,,,
"Pravara Rural College of Pharmacy, Pravaranagar",,,,,,,
"SRMSWET's Sahakar Maharshi Kisanrao Varal Patil College of Pharmacy, Nighoj, Tal.Parner, Dist. Ahmednagar",,,,,,,
"Mula Education Soceity,Mula Rural Institute of Pharmacy,Sonai, Tal. Newasa Dist. Ahmednagar",,,,,,,
"Sangamner Medical foundation & Research Institute, Sangamner, Dist. Ahmednagar",,,,,,,
"Amrutwahini Institute of Pharmacy, Sangamner, Ahmednagar",,,,,,,
"Kakasaheb Mhaske College of Pharmacy, Nagapur, Ahmednagar",,,,,,,
"Navmaharahstra Shikshan Mandal's Abasaheb kakade Pharmacy College, Bodhegaon,  Ahmednagar.",,,,,,,
"Sangamner Medical Foundation & Research Institutes,Wamanrao Ethape Polytechnic Sangamner",,,,,,,
"TULAJABHAVANI SEVA PRATISTHAN, SONIYA GANDHI POLYTECHNIC, SHRIGONDA",,,,,,,
"SHRI DATTAKRUPA SHAIKSHANIK & KRISHI  GRAM VIKAS PRATISTHAN, SHRI SIDDHIVINAYAK POLYTECHNIC, KARJAT",,,,,,,
"THE PEOPLE EDUCATION SOCIETY'S, DIPLOMA COLLEGE OF ENGGINEERING & TECHNOLOGY,JAMKHED",,,,,,,
"HON. SHRI. BABANRAO PACHPUTE VICHARDHARA TRUST'S PARIKRAMA POLYTECHNIC,KASHTI",,,,,,,
"SANJIVANI PRATISHTHAN'S INSTITUTE OF TECHNOLOGY,KURUND",,,,,,,
"SULOCHANA BEHELEKAR SAMAJIK & BAHUUDDESHIYA SHIKSHAN SANSTHA'S, INSTITUTE OF TECHNOLOGY,(POLYTECHNIC)",,,,,,,
"A.J.M.V.P.S. Institute of Hotel Management & Catering Technology College, Ahmednagar.",,,,,,,
"Sant Dnyaneshwar institute of Management and Business Administration,",,,,,,,
"Global Institute of Management, Velhale Tal. Sangamner Dist. Ahmednagar",,,,,,,
"Kai.Sau.Sunitatai Eknathrao Dhakane College of Management Science, Shevgaon",,,,,,,
"Padmashree Dr. Vithalrao Vikhe Patil Foundation's Institute of Business Management & Rural Development, Ahmednagar",,,,,,,
"Sakeshwar Gramin Vikas Seva Sanstha, Sau.Sundarbai Manik Adsul Polytechnic, Chas, Ahmedngar",,,,,,,
"Shree Samarth Academ?s, Shree Samarth Polytechnic, Mhasane Village
Village Mhasane , Tal.Parner, Ahmednagar",,,,,,,
"Shri Dattakrupa Shaikshanik & Krushi Gramvikas Pratisthn's Saikrupa Polytechnic, Ghargaon,  Tal Shrigonda, Ahmednagar",,,,,,,
"Shri Chhatrapati sambhaji Gramvikas Pratisthan,s Shri Chhatrapati sambhaji Polytechnic,Yelpane Tal.Shrigonda, Ahmednagar",,,,,,,
"Savitabai Phule Shikshan Prasarak Mandal's Rajendra Jotiram Phule Polytechnic, Mirajgaon Tal Karjat. Ahmednagar",,,,,,,
"Maharashtra Homiopathic Foundation College of Polytechnic Gujalwadi, Tal Sangamner,  Ahmednagar",,,,,,,
"Shiva Trust's Ajitdada Pawar College of Poltechnic,Vadala Mahadeo,  Tal Shrirampur, Ahmednagar",,,,,,,
"Seva Shikshan Prasarak Mandal, Dr. N. J. Paulbudhe Institute of Technology, Narayandoho Tal Nagar, Ahmednagar",,,,,,,
"Kedareshwar Gramin Vikas Pratishthan, Kai. Sau. Sunitatai Eknathrao Dhakane  Polytehnic College,Rakshi, Tal-Shevgaon,Ahmedngar",,,,,,,
"Raj Laxmi Foundation, Sahkar Maharshi Rajaram Bapu Patil Polytechnic Institute, Madagaon 
Dist-Adhmednagar",,,,,,,
"Adsul's Technical Campus, Chas Dist. Ahmednagar",,,,,,,
"Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti, Ahmednagar.",,,,,,,
"Shree Saibaba Institute of Engineering, Research & Allied Sciences, Rahta.",,,,,,,
"Akole Taluka Education Society,s Technical Campus, Akole, Ahmednagar.",,,,,,,
"Ashok Institute of Engineering & Technology(Polytechnic), Shrirampur.",,,,,,,
"Piren's Insitute of Computer Technology, Loni",,,,,,,
"Vidya Niketan College of Engineering, Bota Sangamner",,,,,,,
"Rajiv Gandhi College of Engineering, At Post Karjule Hariya Tal.Parner, Dist.Ahmednagar",,,,,,,
"Abasaheb Kakade College of B Pharmacy, At.Bodhegaon, Shevgaon, Ahmednagar",,,,,,,
"Karmaveer Shankarao Kale Education Society's Gautam Polytechnic Institute,Kpoargaon",,,,,,,
"Akole Taluka Education Society's Faculty of Polytechnic, Akole",,,,,,,
"Pratibhatai Pawer College of Pharmacy, Shrirampur",,,,,,,
"Pravara Rural Education Society's Institute of PHarmacy, Loni Kd",,,,,,,
"Parikrama Diploma in Pharmaceutical Science, Kashti, Tal Shrigonda",,,,,,,
"N D Kasar College of Pharmacy, Walki, Ahmednagar",,,,,,,
"Seva Shikshan Prasarak Mandal's Dr. N.J. Paulbudhe College of Pharmacy (Diploma), Ahmednagar",,,,,,,
"AJMVP's HKCCSM Institute of Management Research & Rural Development, Ahmednagar",,,,,,,
"Dr. N.J. Paulbudhe College of Pharmacy, Ahmednagar",,,,,,,
"Jijamata Shikshan Prasarak Mandal's Kamlatai College of Architecture, Ahmednagar",,,,,,,
"Matoshri Miratai Aher College of Pharmacy, Karjule Harya Taluka Parner",,,,,,,
"RAMESH PHIRODIA COLLEGE OF ARCHITECTURE, Ahmednagar",,,,,,,
"Shantiniketan College of Pharmacy, Ahmednagar",,,,,,,
"Manav School of Polytechnic, Vyala, Tal.Balapur, Akola",,,,,,,
"Mavav School of Engineering & Technology, Gut No. 1035 Nagpur Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola,  444302",,,,,,,
"Manav School of Business Management, Vyala Tal. Balapur Dist. Akola",,,,,,,
"Manav School of Architecture, Vyala Tal. Balapur, Dist Akola",,,,,,,
"Sakshi Shikshan Krida Prasarak & Bahu Sanstha's  Dr. Rajesh Ramdasji Kambe Polytechnic, Turkhed, Tq: Murtizapur Dist: Akola",,,,,,,
"Bhonslas Education Trust's Bhonsla Polytechnic, Akola- Washim Highway, Tah. & Dist. Akola.",,,,,,,
"Bhonsla College of Engineering & Reasearch, Akola",,,,,,,
"Homeopathic Education Society, Institute of Polytechnic, Akola",,,,,,,
"Saraswati Education Society's Shree Tirupati Tantra Niketan, Akola",,,,,,,
"Geetadevi Khandelwal Institute of Pharmacy, Akola",,,,,,,
"Late Shri Ramraoji Gawande Institute of Pharmacy, Akola",,,,,,,
"Government Polytechnic, Murtizapur, Akola",,,,,,,
"School of Architecture College of Engineering & Technology, Akola",,,,,,,
"Shri Gurudatta Shikshan Prasarak Sanstha's Institute of Pharmacy, Kaulkhad, Akola",,,,,,,
"Shri Shivaji Education Society's College of Engineering and Technology, Akola",,,,,,,
"Shri Hanuman Vyayam  Prasarak Mandals College of Engineering & Technology, Amravati",,,,,,,
"Shri. Dadasaheb Gawai Charitable Trust's Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology, Darapur",,,,,,,
"Department of Business Administration & Management, Amravati",,,,,,,
"University Department of Chemical Technology, Amravati University, Amravati",,,,,,,
"Vidarbha Youth Welfare Society's, Prof. Ram Meghe College of Engineering & Management, Badnera",,,,,,,
"Vidya Bharati College of Pharmacy, Amravati",,,,,,,
"Chaitanya Bahu Uddeshiya Sanstha's Institute of Management Studies, Anjangaon",,,,,,,
"Maratha Shikshan Sanstha, P.R. Patil College of Engineering & Technology, Amravati",,,,,,,
"Vidya Bharati Mahavidyalaya. Department of Research and PG Studies in Science & Management, MBA Programme,Amravati.",,,,,,,
"Sipna Shikshan Prasarak Mandals College of Engineering & Technology, Amravati",,,,,,,
"V.Y.W.S's Prof. Ram Meghe Institute of Technology & Research, Badnera, Amravati.(Formerly College of Engineering)",,,,,,,
"P. R. Pote( Patil) Education & Welfare Trust, Group of Institutions, Amravati (Integrated Campus)",,,,,,,
"Indira Bahuuddeshiya Shikshan Sanstha, College of Engineering, Ghatkheda, Amravati",,,,,,,
"Government College of Engineering, Amravati",,,,,,,
"Government College of Pharmacy, Amravati",,,,,,,
"Dhamangaon Education Society's College of Engineering and Technology, Dhamangaon",,,,,,,
"Chaitanya Bahu Uddeshiya Sanstha, College of Engineering and Management, Anjangaon, Amravati",,,,,,,
"Bhaiyasaheb Javade Education Society, Amravati Polytechnic College, Bhankhed",,,,,,,
"P.R. POTE (PATIL) EDUCATION & WELFARE TRUST, P. R. POTE INSTITUTE OF POLYTECHNIC & TECHNOLOGY",,,,,,,
"Shri Shivaji Education Society's Dr. Punjabrao  Deshmukh Polytechnic (Un-Aided), Amravati",,,,,,,
"Shree, Swami Samarth Institute of Pharmacy, at parsodi, Dhamangaon Rly, Dist.Amravati",,,,,,,
"CHAITANYA BAHU UDDESHIYA SANSTHA'S, G. H. RAISONI POLYTECHNIC, ANJANGAON",,,,,,,
"Shri. Shivaji Education Society's Dr. Punjabrao Deshmukh Polytechnic(Aided), Amravati",,,,,,,
"Shri. Shivaji Education Society's Dr. Panjabrao Deshmukh Girls Polytechnic, Amravati",,,,,,,
"VIDARBHA YOUTH WELFARE SOCIETY'S POLYTECHNIC, BADNERA",,,,,,,
"NAGAR PARISHAD TECHNICAL EDUCATION SOCIETY'S NAGAR PARISHAD POLYTECHNIC, ACHALPUR",,,,,,,
"Vidyabharati Shaikshanik Mandal's Vidyabharati College of Pharmacy, Amravati.",,,,,,,
"Government Polytechnic, Amravati",,,,,,,
Dhamangaon Education Society's L.A.M.I.T. Dhamangaon Rly,,,,,,,
"P.R.Patil College of Management, Amravati",,,,,,,
"Department of Computer Science, SGB Amravati University, Amravati",,,,,,,
"Shree Hanuman Vyayam Prasark Mandal's P.G. Department  of Computer Science & Technology, Amravati",,,,,,,
"Indira Bahuuddeshiya Shikshan Sanstha's Dr. Rajendra Gode Polytechnic,Ghatkhed,  Amravati",,,,,,,
"Shri Dadasaheb Gavai Charitable Trust's Vikramshila Polytechnic,Darapur, Tq. Daryapur, Dist. Amravati",,,,,,,
"Nav Vidya Niketan Shiksha Santha Nav Vidya Niketan Institute of Technology,Mardi Road, Amravati",,,,,,,
"Harkisan Maloo Institute of Managment & Technology, Amravati",,,,,,,
"Kirti Polytechnic, Amravati.",,,,,,,
"Let.Dr.D.B.Dod College of Engineering, Jambla,Achalpur",,,,,,,
"Parvatibai Pundalikrao Tale Education Society's, Shakuntala College of Technology, Amravati",,,,,,,
"Dr. Rajendra Gode Institute of Pharmacy, Amravati",,,,,,,
"Government Polytechnic , Achalpur",,,,,,,
"Institute of Pharmacy & Research, Badnera",,,,,,,
"P. R. Pote Patil College of Pharmacy, Amravati",,,,,,,
"Shreeyash Institute of Pharmaceutical Education & Research, Aurangabad",,,,,,,
"Yashodeep Institute of Pharmacy, Pimpalgaon Pandhari",,,,,,,
"National Institute of Electronics & Information Technology(NIELIT), Aurangabad.",,,,,,,
"Shiva Trust's National Fire safety & Management College, Aurangabad.",,,,,,,
"Rajesh Bhaiyya Tope College of B Pharmacy, Nipani, Aurangbad",,,,,,,
"Shreeyash Institute of Pharmacy, Aurangabad",,,,,,,
"Usha Dwarkadas Pathrikar Institute of Pharmacy, Dongargaon Kawad",,,,,,,
"Matoshri Institute of Pharmacy, Vaijapur",,,,,,,
"Bharat Ratna Dr. A.P. J. Abdul Kalam College of Architecture, Nipani, Aurangbad",,,,,,,
"Student's Academic Education Society's, Oyster college Of Architecture",,,,,,,
"College of Pharmacy(D.Pharm), Khandala",,,,,,,
"Late Bhagirathi Yashwantrao Pathrikar College of D.Pharmacy, Pathri",,,,,,,
"Rajesh Bhaiyya Tope College of Pharmacy, Aurangabad",,,,,,,
"CSMSS Chh. Shahu College of Engineering, Aurangabad",,,,,,,
"Department of Computer Science and IT, Dr. babasaheb Ambedkar marathwada University, Aurangabad",,,,,,,
"Vivekanand Institute of Polytechnic, Aurangabad.",,,,,,,
"Patel College of Architecture, Aurangabad",,,,,,,
"Ambarwadikar Institute of Hotel Management & Cataring Technology Polytechnic, Deolai, Aurangabad.",,,,,,,
"M.G.M.'s College of Food Technology, Aurangabad",,,,,,,
"Shri Sai Institute of Technology(Polytechnic),Aurangabad",,,,,,,
"Oyster Institute of Pharmacy, Aurangabad.",,,,,,,
"Sai Institute of Engineering & Technology, Bilda, Aurangabad.",,,,,,,
"International Centre of Excellence in Engineering & Management, Aurangabad.",,,,,,,
"Ambarwadikar's Institute of Technology, Waluj, Aurangabad",,,,,,,
"People Education Society's P.E.S. Polytechnic, Nagsenvan, Aurangabad",,,,,,,
"MGMs Polytechnic , Aurangabad",,,,,,,
"Aurangabad College of Engineering,  Naygaon Savangi, Aurangabad",,,,,,,
INDO GERMAN TOOL ROOM Aurangabad,,,,,,,
"Foster Development School of Management, Aurangabad",,,,,,,
"Shri Sai Institute of Management & Research, Aurangabad",,,,,,,
"Maratha Education Society's Institute of Management studies & Information Technology, Aurangabad",,,,,,,
"Maulana Azad Educational Trust's Tom Patrick Institute of Computer & Information Technology, Aurangabad",,,,,,,
"Bharatiya Gramin Punarrachana Sanstha's Rajashri Shahu Institute of Managment, Aurangabad",,,,,,,
"Gramodik Shikshan Mandal's Marathwada Institute of Technology, Aurangabad",,,,,,,
"Government College of Engineering, Aurangabad",,,,,,,
"Government Medical College, Aurangabad - 431 001.",,,,,,,
"Marathwada Shikshan Prasarak Mandal's Group of Institutions, Aurangabad-431005",,,,,,,
Queen's College Of Food Technology & Research Foundation Aurangabad,,,,,,,
"Gramodyogik Shikshan Mandals Marathwada Institute of Technical, Aurangabad",,,,,,,
MAULANA AZAD EDUCATION SOCIETY'S KAMLA NEHRU POLYTECHNIC(PHARMACY)  AURANGABAD,,,,,,,
"Umar Been Khattab Welfare Trust's D. Pharmacy College, Kunjkheda Ta. Kannad Dist. Aurangabad.",,,,,,,
"Government Polytechnic, Aurangabad",,,,,,,
"BSPM'S Dr. Y.S. Khedkar College of Pharmacy, Cidco, Aurangabad.",,,,,,,
"Gramodyogik Shikshan Mandal's Marathwada Institute of Technology, Rotegaon, Vaijapur",,,,,,,
"Sayli Charitable Trust's College of Pharmacy, Mitmita, Aurangabad.",,,,,,,
"Shree B.N.M.'s Diploma in Pharmacy Institute, Hatta, Tal.Basmat",,,,,,,
"Shri D.M.V.M.'s Diploma in Pharmacy Institute, At Post Gevrai Tanda, Paithan Road, Aurangabad.",,,,,,,
"B.G.P.S'S RAJASHREE SHAHU INSTITUTE OF HOTEL MANAGEMENT AND CATERING TECHNOLOGY, CHIKHALTHANA",,,,,,,
"B.G.P.S.'s Hi Tech Polytechnic, Aurangabad",,,,,,,
"Sambhaji College of D. Pharmacy, Aurangabad",,,,,,,
"SHREE YASH PRATISHTHAN, SHREE YASH POLYTECHNIC, SATARA TANDA, AURANGABAD.",,,,,,,
"Shree Bharavnath Nisarga Mandal, Diploma in Engineering and Technology, Gevrai Tanda, Aurangabad",,,,,,,
"Shiva Trust's Sharadchanraji Pawar Polytechnic College, Aurangabad.",,,,,,,
"Shree Sai Samajik Vikas Sanstha, Nath Polytechnic, Paithan",,,,,,,
"CHATRAPATI SHAHU MAHARAJ SHIKSHAN SANSTHA, C.S.M.S. SANSTHAS COLLEGE OF POLYTECHNIC, KANCHANWADI.",,,,,,,
"SAI SHIKSHAN SANSTHA, AMBARWADIKARS INSTITUTE OF  TECHNOLOGY, GANGAPUR",,,,,,,
"VINAYAKRAO PATIL SHIKSHAN PRASARAK MANDAL, INSTITUTE OF ENGINEERING & TECHNOLOGY KANNAD",,,,,,,
"Bhartiya Gramin Punarachana Sanstha, Hi-Tech Institute of Technology, Aurangabad",,,,,,,
"Bhartiya Gramin Punarrachana Sanstha's  Veermata Jijau Women's Engineering College, Sharnapur",,,,,,,
"Bhagwan College of Pharmacy, Aurangabad",,,,,,,
"G.S. Mandals Marathwada Institute of Technology (Arch.), Aurangabad",,,,,,,
"Government College of Pharmacy,Aurangabad",,,,,,,
"Peoples Education Society's College of Engineering, Aurangabad",,,,,,,
"Maulana Azad Education Trust's Y.B.Chavan College of Pharmacy, Aurangabad",,,,,,,
"Lokvikas Educational  & Charitable Trust, Savitribai Phule Women's Engineering College, Sharnapur",,,,,,,
"M.G.M.'s Jawaharlal Nehru College of Architecture, Aurangabad",,,,,,,
"M.G.M.'s Jawaharlal Nehru Engineering College, Aurangabad",,,,,,,
"Lokvikas Educational & Charitable Trust's Marathwada Institute of Management and Research, Aurangabad",,,,,,,
"Shreeyash Prathishthan's Shree Yash Institute of Management, Aurangabad",,,,,,,
"Shri. Bhaskaracharya Pratishthan, Chate Business School, Aurangabad",,,,,,,
"Dr. B. A. M.University Dept. Of Management Science, Aurangabad",,,,,,,
"Mahatma Gandhi Mission's Institute of Management, Aurangabad",,,,,,,
"Rajarshi Shahu Institute of Management, Aurangabad",,,,,,,
"Maulana Azad Edu. Trust's Millenium Institute of Management, Aurangabad",,,,,,,
"Government College of Engineering Department of Management Studies, Aurangabad",,,,,,,
"Everest Education Society, Group of Institutions, Ohar (Integrated Campus)",,,,,,,
"Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Satara(p), Dist Aurangabad",,,,,,,
"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad.",,,,,,,
"University Department of Chemical Technology, Aurangabad",,,,,,,
"Yash Institute  of Pharmacy, Aurangabad",,,,,,,
"Shri. Dhaneshwari Manav Vikas Mandal's Dr. Vedprakash Patil Pharmacy, College, Gevrai, Aurangabad.",,,,,,,
"Shri Sai Samajik Vikas Santha's Shri Sai Colllege of Engineering, Paddari Village",,,,,,,
Krupanidhi College of Pharmacy,,,,,,,
The Oxford College of Pharmacy,,,,,,,
Aditya Bangalore Institute of  Pharmacy Education and Research,,,,,,,
"Gurukrupa Sevabhavi Sanstha's Gurukrupa Institute of Pharmacy(B.Pharm), Majalegaon, Beed",,,,,,,
"Shri B S P M's B Pharmacy College, Ambajogai",,,,,,,
"Anand Charitable Trusts, Diploma in Engineering & Technology, Murshadapur, Ashti, Dist. Beed.",,,,,,,
"Renukamata KrishiVikas Pratisthan's Swami Vivekanand Polytechnic, Jola, Post Devgaon Tq Kaij, Dist Beed.",,,,,,,
"Aditya Education Trust's Mitthulalji Sarada Polytechnic, Nalwandi Road, Beed.",,,,,,,
"Shri Yogeshwari Polytechnic College, Ambajogai, Beed.",,,,,,,
"Aditya Diploma Instiute of Pharmacy, Beed",,,,,,,
"Aditya Pharmacy College, Beed",,,,,,,
"Gurukrupa Institute of Pharamcy, Majalgaon",,,,,,,
"Aditya College of Architecture, Beed",,,,,,,
SAU. K S K ALIAS KAKU COLLEGE OF FOOD TECHNOLOGY,,,,,,,
"Anand Charitable Sanstha's College of Pharmaceutical Science & Research,  Ashti",,,,,,,
"Anand Charitable Sanstha's Gangai Pharmacy College, Kada",,,,,,,
"Kishori College of M.B.A., Beed",,,,,,,
"Mitthulalji Sarda MBA College, Beed",,,,,,,
"Suraj Institute of Management, Beed",,,,,,,
"Aditya College of MBA, Beed",,,,,,,
"Mahatma Basaweshwar Education Society's College of Engineering, Ambejogai",,,,,,,
"Nagnathappa Halge Engineering  College, Parli",,,,,,,
"Aditya Engineering College , Beed",,,,,,,
"MATARTHWADA SHIKSHAN PRASARAK MANDAL, YESHWANTRAO CHAVAN INSTITUTE OF POLYTECHNIC, BEED",,,,,,,
"SHRI CHHATRAPATI SHIVAJI SHIKSHAN SANSTHA, VASANT POLYTECHNIC COLLEGE, BEED",,,,,,,
"GANGAI CHARITABLE TRUST, ADARSH POLYTECHNIC, ASHTI",,,,,,,
"Aditya Bahuddeshiya Sanstha, Aditya Polytechnic, Beed",,,,,,,
"Sant Gajanan College of Pharmacy, Ambajogai",,,,,,,
"Anand Charitable sanstha's College of Pharmacy, Ashti, Dist. Beed.",,,,,,,
"Shree Balaji Shikshan Prasarak's Institute of Pharmacy, Ambejogai, Dist. Beed.",,,,,,,
"Government Polytechnic, Beed",,,,,,,
"Jai Bhavani Shikshan Prasarak Mandal's Institute Of Pharmacy, Gadhi Gevrai",,,,,,,
"Shri Amolak Jain Vidya Prasarak Mandal's  Pharmacy College, Kada, Ashti, Beed.",,,,,,,
"Navgan shikshan sanstha's P.V.P. College of Pharmacy, Patoda, Beed,",,,,,,,
"Mahatma Bashweshwar Education Society's T.B.Girwalkar Polytechnic, Ambejogai, Dist.Beed",,,,,,,
"Adarsh Shikshan Sansta's  Colllege of  Pharmacy, Beed.",,,,,,,
"K.L.E.Society, College of Pharmacy ,Nipani",,,,,,,
"Bharatesh Education Trust's Global Bussiness School,Belagavi",,,,,,,
"Anmaya Padvika Abhaskram, Bhandara",,,,,,,
"ANJANYA POLYTECHNIC COLLEGE, Tumsar",,,,,,,
"Ujval Bahuuddeshiya Sanstha's Late Shankarrao Shende Technical Institute, Bhandara",,,,,,,
"Wainganga Polytechnic, Sakoli",,,,,,,
"Kai. Shri. Laxmanji Motghare Charitable Trust's Anmay Techical Institute, Kosara-Konda",,,,,,,
"Laxmi Shikshan Sanstha & Krida Mandal,Samrat Sewakbhau Waghaye Patil Polytechnic College,At Gadegaon, Lakhani, Dist Bhandara",,,,,,,
"Gondia Education Society's Manoharbhai Patel Institute Of Engineering & Technology, Shahapur, Bhandara",,,,,,,
"Gondiya Education Society's J.M. Patel College of Computer Science, Bhandara",,,,,,,
"Shri Bavvbhuti Shikshan sanstha's Shri Laxmanrao Mankar Institute of Pharmacy, Amgoan.",,,,,,,
"Government Polytechnic, Sakoli",,,,,,,
"Vivekanand Polytechnic, Bhandara",,,,,,,
"Vainganaga Bahuudyashiya Vikas Sanstha's Bajirao Karnjkar College of Pharmacy, Nagpur",,,,,,,
"Anurag College of Pharmacy , Warathi, Bhandara",,,,,,,
"SANMARG SHIKSHAN SANSTHA, SHRI SHARADCHANDRA PAWAR POLYTECHNIC, BHILEWADA",,,,,,,
"LATE SHRI LAXMAJI MOTGHARE CHRITABLE TRUST'S DR. ARUN MOTGHARE POLYTECHNIC, KOSARA-KONDA",,,,,,,
"Bajiraoji Karanjakar College of Pharmacy, Sakoli , Bhandara",,,,,,,
"Laxmi Shikshan Sanstha & Krida Mandal, Late Nirdhanrao Patil Waghye College of Pharmacy, Ghadegaon",,,,,,,
"Swargiya Shri Laxmanji Motghare Charitable Trust, Dr. Arun Motghare College of Management, Bhandara.",,,,,,,
"Sanmarg Shikshan Sanstha, Mandukarrao Pandav College of Engineering, Billewada, Bhandara",,,,,,,
"Department of Managament Science & Research J.M.Patel College, Bhandara",,,,,,,
"SHA-SHIB COLLEGE OF TECHNOLOGY,BHOPAL",,,,,,,
"S.V.E.T ' s College of Pharamacy,Humnabad ,Dist.Bidar",,,,,,,
"H.K.D.E.T'S COLLEGE OF PHARMACY ,",,,,,,,
"Vidyavardhini Shikshan Va Krida Prasarak Mandal, Jijau College of Technology, Buldhana",,,,,,,
"Laddhad College of Pharmacy, Yelgaon, Buldhana",,,,,,,
"MES College of Pharmacy, Mehkar",,,,,,,
"Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile",,,,,,,
"Rajarshi Shahu Polytechnic, Buldhana.",,,,,,,
"Mauli Group of Institutions, College of Engineering and Technology, Shegaon.",,,,,,,
"Bhiwsan Patil Shinde Shikshan Gramin Vikas & Bahu Sanstha,Shinde Polytechnic, Anjani Bk Tq: Mehkar, Dist: Buldhana",,,,,,,
"Paramhans Ramkrishna Mouni Baba Shikshan Sanstha's Anuradha Polytechnic, Anuradha Nagar,Chikhali, Buldhana.",,,,,,,
"Padmashri Dr. V.B.  Kolte College of Engineering, Malkapur, Buldhana",,,,,,,
"Rajashri Sahhu College of Pharmacy, Buldhana.",,,,,,,
"Vidyavardhini Shikshan Va Krida Prasarak Mandal's, Sahyadri College of Technology, Buldhana",,,,,,,
"Dr.R. N. Lahoti Institute of Pharmacy, Sultanpur",,,,,,,
